indicator_id,province_id,indicator_value,year
28,1100,9.84,2022
28,1200,3.81,2022
28,1300,8.48,2022
28,1400,4.35,2022
28,1500,4.39,2022
28,1600,4.76,2022
28,1700,5.34,2022
28,1800,3.97,2022
28,1900,5.83,2022
28,2100,3.45,2022
28,3100,2.44,2022
28,3200,3.61,2022
28,3300,3.10,2022
28,3400,4.39,2022
28,3500,3.57,2022
28,3600,3.68,2022
28,5100,1.72,2022
28,5200,9.79,2022
28,5300,4.06,2022
28,6100,3.45,2022
28,6200,4.25,2022
28,6300,2.73,2022
28,6400,2.69,2022
28,6500,1.91,2022
28,7100,2.85,2022
28,7200,4.22,2022
28,7300,4.65,2022
28,7400,7.98,2022
28,7500,6.43,2022
28,7600,2.69,2022
28,8100,5.55,2022
28,8200,7.15,2022
28,9100,3.95,2022
28,9400,1.06,2022
28,1001,3.99,2022
29,1100,56.93,2022
29,1200,66.00,2022
29,1300,68.15,2022
29,1400,51.78,2022
29,1500,56.83,2022
29,1600,62.77,2022
29,1700,64.16,2022
29,1800,62.37,2022
29,1900,55.28,2022
29,2100,58.63,2022
29,3100,58.26,2022
29,3200,57.20,2022
29,3300,69.63,2022
29,3400,77.09,2022
29,3500,66.79,2022
29,3600,57.74,2022
29,5100,82.82,2022
29,5200,71.05,2022
29,5300,81.92,2022
29,6100,61.77,2022
29,6200,55.98,2022
29,6300,62.55,2022
29,6400,54.59,2022
29,6500,58.92,2022
29,7100,55.45,2022
29,7200,62.58,2022
29,7300,60.86,2022
29,7400,66.26,2022
29,7500,61.71,2022
29,7600,66.38,2022
29,8100,66.99,2022
29,8200,56.96,2022
29,9100,67.54,2022
29,9400,80.82,2022
29,1001,63.68,2022
30,1100,89.92,2022
30,1200,91.65,2022
30,1300,107.07,2022
30,1400,94.51,2022
30,1500,87.05,2022
30,1600,92.20,2022
30,1700,90.86,2022
30,1800,87.28,2022
30,1900,88.53,2022
30,2100,96.16,2022
30,3100,88.76,2022
30,3200,85.74,2022
30,3300,84.33,2022
30,3400,90.05,2022
30,3500,84.77,2022
30,3600,84.72,2022
30,5100,80.68,2022
30,5200,80.70,2022
30,5300,91.33,2022
30,6100,88.46,2022
30,6200,87.72,2022
30,6300,84.49,2022
30,6400,90.37,2022
30,6500,87.76,2022
30,7100,101.23,2022
30,7200,94.26,2022
30,7300,92.43,2022
30,7400,90.46,2022
30,7500,111.73,2022
30,7600,86.12,2022
30,8100,94.60,2022
30,8200,89.07,2022
30,9100,86.70,2022
30,9400,79.40,2022
30,1001,87.85,2022
31,1100,12.50,2022
31,1200,25.00,2022
31,1300,12.07,2022
31,1400,27.45,2022
31,1500,17.02,2022
31,1600,27.12,2022
31,1700,18.42,2022
31,1800,23.19,2022
31,1900,9.76,2022
31,2100,9.76,2022
31,3100,27.71,2022
